mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_mixer_text,weather,192,0.5474,0.5658
forecasting_electricity_laya_mixer_text,weather,336,0.5690,0.5732
forecasting_electricity_laya_mixer_text,weather,720,0.6119,0.5967
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,96,0.4704,0.4871
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,192,0.5159,0.5074
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,336,0.5538,0.5258
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,720,0.5840,0.5462
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,96,0.4768,0.5060
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,192,0.5011,0.5176
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,336,0.5598,0.5458
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,720,0.6083,0.5691
forecasting_electricity_laya_mixer_text_stats_avg,weather,96,0.4514,0.5190
forecasting_electricity_laya_mixer_text_stats_avg,weather,192,0.4807,0.5352
forecasting_electricity_laya_mixer_text_stats_avg,weather,336,0.5103,0.5505
forecasting_electricity_laya_mixer_text_stats_avg,weather,720,0.5564,0.5729
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,96,0.4850,0.5104
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,192,0.5435,0.5396
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,336,0.5786,0.5536
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,720,0.6087,0.5720
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,96,0.7499,0.6655
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,192,0.7835,0.6833
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,336,0.8560,0.7239
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,720,0.8994,0.7412
forecasting_electricity_laya_mixer_text_stats_joint,weather,96,0.5176,0.5418
forecasting_electricity_laya_mixer_text_stats_joint,weather,192,0.5585,0.5658
forecasting_electricity_laya_mixer_text_stats_joint,weather,336,0.5896,0.5798
forecasting_electricity_laya_mixer_text_stats_joint,weather,720,0.6344,0.6054
forecasting_electricity_laya_relation_text,ETTm1,96,0.4507,0.4970
forecasting_electricity_laya_relation_text,ETTm1,192,0.5129,0.5349
