mode,dataset,accuracy,f1_macro
classification_electricity_laya_mixer_text,FordB,0.5370,0.5204
classification_electricity_laya_mixer_text_stats_avg,EthanolConcentration,0.2700,0.1803
classification_electricity_laya_mixer_text_stats_avg,FaceDetection,0.5136,0.4739
classification_electricity_laya_mixer_text_stats_avg,Handwriting,0.0506,0.0037
classification_electricity_laya_mixer_text_stats_avg,Heartbeat,0.7220,0.4193
classification_electricity_laya_mixer_text_stats_avg,JapaneseVowels,0.3811,0.3421
classification_electricity_laya_mixer_text_stats_avg,PEMS-SF,0.2428,0.1861
classification_electricity_laya_mixer_text_stats_avg,SelfRegulationSCP1,0.7440,0.7312
classification_electricity_laya_mixer_text_stats_avg,SelfRegulationSCP2,0.5000,0.3430
classification_electricity_laya_mixer_text_stats_avg,SpokenArabicDigits,0.4270,0.4200
classification_electricity_laya_mixer_text_stats_avg,UWaveGestureLibrary,0.2031,0.1265
classification_electricity_laya_mixer_text_stats_avg,ECG200,0.6700,0.5540
classification_electricity_laya_mixer_text_stats_avg,ECG5000,0.8916,0.3658
classification_electricity_laya_mixer_text_stats_avg,FordA,0.5970,0.5791
classification_electricity_laya_mixer_text_stats_avg,FordB,0.5099,0.5093
classification_electricity_laya_mixer_text_stats_joint,EthanolConcentration,0.2700,0.1791
classification_electricity_laya_mixer_text_stats_joint,FaceDetection,0.5028,0.4809
classification_electricity_laya_mixer_text_stats_joint,Handwriting,0.0388,0.0067
classification_electricity_laya_mixer_text_stats_joint,Heartbeat,0.7220,0.4193
classification_electricity_laya_mixer_text_stats_joint,JapaneseVowels,0.3405,0.2797
classification_electricity_laya_mixer_text_stats_joint,PEMS-SF,0.2486,0.1826
classification_electricity_laya_mixer_text_stats_joint,SelfRegulationSCP1,0.7167,0.6963
classification_electricity_laya_mixer_text_stats_joint,SelfRegulationSCP2,0.5000,0.3430
classification_electricity_laya_mixer_text_stats_joint,SpokenArabicDigits,0.3429,0.3346
classification_electricity_laya_mixer_text_stats_joint,UWaveGestureLibrary,0.1313,0.0380
classification_electricity_laya_mixer_text_stats_joint,ECG200,0.6400,0.3902
classification_electricity_laya_mixer_text_stats_joint,ECG5000,0.8760,0.3624
classification_electricity_laya_mixer_text_stats_joint,FordA,0.6697,0.6604
classification_electricity_laya_mixer_text_stats_joint,FordB,0.5617,0.5418
classification_electricity_laya_relation_text,EthanolConcentration,0.3118,0.2849
